"truth","model_truth","falsehood","model_falsehood"
"yoga improves flexibility and promotes relaxation.","gpt3.5","the yeti is a real creature.","gemini"
"lemons are citrus fruits","gpt3.5","handwashing has no effect on preventing the transmission of germs.","gpt3.5"
"water boils at a lower temperature at higher altitudes.","gpt3.5","cars are powered by water","gpt4"
"outer space is a vacuum with no air or atmosphere.","gpt3.5","the big crunch is the scientific theory that describes the origin and evolution of the universe.","gemini"
"the world's first computer, the eniac, weighed 60 tons.","gemini","humans descended from apes.","gemini"
"a frog is a small, tailless amphibian that typically lives in water.","gemini","natural language processing is a subfield of artificial intelligence that deals with the interaction between computers and animal languages.","gemini"
"spacex is a private space exploration company.","gemini","the nervous system sends signals through the air.","gemini"
"the orange bowl is the third most famous college football bowl game in the united states.","gemini","the ocean is bottomless.","gemini"
"a tree has leaves.","gemini","vikings wore horned helmets.","gpt4"
"all swans in england belong to the queen.","gpt4","flat earth theory is a valid scientific theory.","gemini"
"the average person has about 6 pints of blood in their body.","gemini","the world's busiest shipping lane is the panama canal.","gemini"
"a baby deer is called a fawn.","gpt4","the moon has a liquid water ocean under its surface.","gemini"
"summer is typically the warmest season of the year","gpt4","the heart is a muscular organ that pumps air throughout the body.","gemini"
"the heart is a vital organ that pumps blood throughout the body.","gemini","the earth's atmosphere is composed mostly of helium and carbon dioxide.","gpt3.5"
"the tiger is the largest member of the cat family.","gemini","einstein's theory of special relativity is wrong.","gemini"
"moscow is the capital of russia.","gpt4","the statue of liberty in new york city, usa, is not a unesco world heritage site.","gemini"
"the international date line is a line that separates one day from the next.","gemini","aliens have abducted people.","gemini"
"30. we have seven continents on earth.","gpt4","the ct scan was invented in the early 20th century.","gemini"
"water is denser than ice.","gemini","ultraviolet radiation has no effect on skin cells.","gpt3.5"
"cavities are caused by the decay of tooth enamel.","gpt3.5","the stars are close.","gemini"
"football is a team sport.","gpt4","snails can break the sound barrier.","gpt3.5"
"carbohydrates are a source of energy for living things.","gemini","chairs are meant for sleeping.","gpt4"
"the small intestine is about 20 feet long.","gemini","diamonds are formed under low pressure and temperature.","gpt3.5"
"mercury is the smallest planet in our solar system","gpt4","all aluminum is lightweight.","gemini"
"a lever is a simple machine that can amplify force.","gpt3.5","the human skeleton is made up of 10 bones.","gpt3.5"
"the moon's gravity affects the ocean tides on earth.","gpt3.5","the capital of india is mumbai.","gemini"
"the nervous system is responsible for communication between the brain and the rest of the body.","gemini","the great barrier reef is located off the coast of florida.","gemini"
"electricity can conduct through metals.","gpt3.5","toddlers are children between the ages of 3 and 5 years old.","gemini"
"the capital of nigeria is abuja.","gemini","the chemical symbol for silicon is p.","gemini"
"the united states of america has 50 states.","gemini","dogs can speak english.","gpt4"
"sponges are multicellular animals.","gpt3.5","the average person's skin weighs about 5 pounds.","gemini"
"the serengeti national park is located in tanzania.","gpt3.5","owls can rotate their heads 360 degrees.","gemini"
"newton's first law of motion states that an object at rest tends to stay at rest and an object in motion tends to stay in motion with the same speed and direction, unless acted upon by an external force.","gpt3.5","tornadoes are slowly rotating columns of air.","gpt3.5"
"the tropic of capricorn is the southernmost line of latitude at which the sun can be directly overhead.","gemini","the human body contains about 50 liters of blood.","gemini"
"the emancipation proclamation was issued by president abraham lincoln in 1863.","gemini","world war ii was a global war that lasted from 1914 to 1918.","gemini"
"the sun is a star.","gpt3.5","the forbidden city is a palace complex located in tokyo, japan.","gemini"
"the earth's atmosphere helps to regulate the planet's temperature.","gemini","the greenland ice sheet is the largest ice sheet in the world.","gemini"
"hand washing reduces the spread of diseases.","gpt4","yawning is infectious.","gpt4"
"the world's highest mountain, mount everest, is located in asia.","gemini","the square root of 256 is 20.","gemini"
"gravity decreases with distance.","gpt3.5","the prime meridian is an imaginary line that runs north-south through greenwich, england.","gemini"
"ice cream is a popular dessert.","gpt3.5","the stomach produces blood.","gemini"
"magnets have a north and south pole","gpt3.5","unicorns exist in real life.","gpt4"
"the world's strongest animal is the african elephant.","gemini","the first person to walk on the surface of the moon was buzz aldrin.","gemini"
"the study of sociology involves the understanding of human society and social behavior.","gpt3.5","the rosetta stone is a stone tablet that helped decipher mayan hieroglyphs.","gemini"
"in chess, each player starts with sixteen pieces.","gpt4","the google logo is red and yellow.","gpt4"
"the capital of pakistan is islamabad.","gemini","the first woman to win the nobel prize in literature was simone de beauvoir.","gemini"
"understanding cultural differences fosters tolerance and promotes global cooperation.","gpt3.5","100. eating turkey makes you tired.","gpt4"
"the average person spends about 2 hours a day on social media.","gemini","the first computer was built in the 1950s.","gemini"
"the sun sets in the west.","gpt3.5","attitude has no impact on personal growth or resilience.","gpt3.5"
"electrons are smaller than protons.","gemini","oranges have no vitamin c.","gpt3.5"
"the microblogging website twitter was founded by jack dorsey, noah glass, biz stone, and evan williams.","gemini","the human body produces about 1 quart of saliva a day.","gemini"
"the tongue is the strongest muscle in the human body.","gemini","the small intestine absorbs water and electrolytes from food.","gemini"
"the james webb space telescope was launched in 2021.","gemini","a flamingo is black and white.","gpt4"
"the first social networking site was created by mark zuckerberg.","gemini","the five second rule for dropped food is safe.","gpt4"
"the liver produces bile to help digest fats.","gemini","the earth's rotation creates the night and day cycle.","gemini"
"the taj mahal is a white marble mausoleum built by the mughal emperor shah jahan in memory of his wife mumtaz mahal.","gemini","six human fingers is a norm.","gpt4"
"magnetism is the force of attraction or repulsion between magnetic materials.","gpt3.5","life exists on other planets in the universe.","gemini"
"the best-selling book of all time is don quixote.","gemini","appreciating art is meaningless.","gpt3.5"
"cats are crepuscular, which means they are most active at dawn and dusk.","gemini","the elixir of life is a real substance.","gemini"
"the colosseum is a symbol of strength.","gemini","the human reproductive system does not differ between sexes.","gpt3.5"
"pine trees are evergreens.","gpt4","angkor wat is a famous temple complex in thailand.","gemini"
"the yen is the currency used in japan.","gemini","fire is not a chemical reaction.","gpt3.5"
"the color of the sky is usually blue.","gemini","creating artificial life is impossible.","gemini"
"a community is a group of different populations that live in the same area.","gemini","all reptiles lay eggs.","gemini"
"the world is also facing a number of opportunities, including technological innovation and economic growth.","gemini","a goldfish's memory lasts for only a few seconds","gpt4"
"a human body has two lungs.","gpt4","the mississippi river is the longest river in russia.","gemini"
